City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Sitka,US,2021-03-28 13:37:14,57.0531,-135.33,35.6,75,40,9.22
223,Ahipara,NZ,2021-03-28 13:37:14,-35.1667,173.1667,66.52,93,99,9.31
224,Novobessergenevka,RU,2021-03-28 13:37:15,47.1847,38.8462,50.0,53,44,13.0
225,Marquette,US,2021-03-28 13:37:15,46.5333,-87.6335,32.0,94,100,8.99
226,Sao Geraldo Do Araguaia,BR,2021-03-28 13:37:15,-6.4006,-48.555,83.75,72,100,2.48
227,Laguna,US,2021-03-28 13:37:15,38.421,-121.4238,48.0,76,1,0.89
228,Cardston,CA,2021-03-28 13:37:16,49.2,-113.3019,48.2,43,100,13.8
229,Panuco,MX,2021-03-28 13:37:16,22.05,-98.1667,73.4,100,90,3.44
230,Mogadishu,SO,2021-03-28 13:37:11,2.0371,45.3438,86.0,66,20,12.66
231,Port Hardy,CA,2021-03-28 13:37:16,50.6996,-127.4199,41.0,87,90,10.36
232,Oksfjord,NO,2021-03-28 13:37:17,70.2396,22.3479,41.0,65,40,12.66
233,Vicksburg,US,2021-03-28 13:34:28,32.3526,-90.8779,64.4,68,90,16.11
234,Bathsheba,BB,2021-03-28 13:37:17,13.2167,-59.5167,82.4,61,40,21.85
235,Novobeysugskaya,RU,2021-03-28 13:37:17,45.472,39.8861,46.0,70,99,14.18
236,Mana,GF,2021-03-28 13:37:17,5.6592,-53.7767,80.15,83,93,13.58
237,Telde,ES,2021-03-28 13:37:18,27.9924,-15.4192,71.6,64,40,16.11
238,Coquimbo,CL,2021-03-28 13:37:18,-29.9533,-71.3436,59.0,82,90,5.75
239,Nanortalik,GL,2021-03-28 13:37:18,60.1432,-45.2371,26.56,62,6,2.86
240,Yeppoon,AU,2021-03-28 13:37:18,-23.1333,150.7333,73.4,78,4,1.14
241,Kattivakkam,IN,2021-03-28 13:37:19,13.2167,80.3167,84.2,74,20,6.91
242,Lagoa,PT,2021-03-28 13:37:19,39.05,-27.9833,59.4,82,100,16.87
243,Paungde,MM,2021-03-28 13:37:19,18.4833,95.5,88.68,28,99,6.6
244,Samarai,PG,2021-03-28 13:37:20,-10.6167,150.6667,82.09,80,65,12.68
245,Smithers,CA,2021-03-28 13:34:16,54.7804,-127.1743,32.0,69,90,13.8
246,Partenit,UA,2021-03-28 13:37:20,44.578,34.3446,53.01,40,53,7.0
247,Port Lincoln,AU,2021-03-28 13:37:20,-34.7333,135.8667,60.85,77,7,8.08
248,Teahupoo,PF,2021-03-28 13:37:20,-17.8333,-149.2667,77.0,78,20,2.3
249,Yaan,NG,2021-03-28 13:37:21,7.3833,8.5667,102.31,9,10,9.53
