City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
178,Coquimbo,-29.9533,-71.3436,62.6,clear sky,72,0,11.5,CL
179,Pacific Grove,36.6177,-121.9166,82.4,clear sky,33,1,5.75,US
180,Najran,17.4924,44.1277,69.8,clear sky,19,0,4.61,SA
181,Byron Bay,-28.65,153.6167,73.4,broken clouds,60,75,14.97,AU
182,Qinggang,46.6833,126.0833,47.61,overcast clouds,52,100,9.15,CN
183,Talnakh,69.4865,88.3972,-16.71,clear sky,87,7,7.36,RU
184,Bathsheba,13.2167,-59.5167,78.8,scattered clouds,57,40,16.11,BB
185,Itarema,-2.9248,-39.9167,78.21,broken clouds,82,80,10.45,BR
186,Bredasdorp,-34.5322,20.0403,62.6,overcast clouds,72,100,5.75,ZA
187,Agropoli,40.3469,14.9966,57.99,scattered clouds,86,25,1.99,IT
188,Vestmanna,62.1564,-7.1664,39.2,few clouds,93,22,6.91,FO
189,Hirara,24.8,125.2833,75.2,broken clouds,100,75,8.05,JP
190,Manadhoo,5.7667,73.3833,83.84,overcast clouds,78,100,12.33,MV
191,Kodiak,57.79,-152.4072,26.6,clear sky,43,1,24.16,US
192,Haines Junction,60.7522,-137.5108,26.6,light snow,54,100,14.97,CA
193,Pevek,69.7008,170.3133,-8.61,scattered clouds,91,47,2.13,RU
194,Bonavista,48.6499,-53.1147,41.0,scattered clouds,70,28,4.61,CA
195,Ponta Do Sol,32.6667,-17.1,59.0,clear sky,73,0,1.99,PT
196,Batemans Bay,-35.7167,150.1833,68.0,overcast clouds,81,85,1.99,AU
197,Sitka,57.0531,-135.33,33.8,moderate rain,86,90,10.36,US
198,Rocha,-34.4833,-54.3333,59.32,scattered clouds,84,25,5.1,UY
199,Sinnamary,5.3833,-52.95,77.45,overcast clouds,84,93,12.08,GF
200,Gilbues,-9.8317,-45.3439,78.87,overcast clouds,68,96,1.61,BR
201,Lorengau,-2.0226,147.2712,82.94,overcast clouds,77,99,6.33,PG
202,Hemnesberget,66.2333,13.6333,35.01,light snow,92,99,3.0,NO
203,Itupiranga,-5.1347,-49.3267,84.2,light rain,84,20,2.3,BR
204,Qaanaaq,77.484,-69.3632,5.11,overcast clouds,91,100,3.89,GL
205,Palana,59.1167,159.9667,22.14,snow,95,100,15.19,RU
206,Lamu,-2.2717,40.902,84.2,scattered clouds,79,40,11.5,KE
207,Miyako,39.6367,141.9525,47.91,scattered clouds,70,40,2.28,JP
208,Sur,22.5667,59.5289,82.8,clear sky,32,4,7.49,OM
209,Abha,18.2164,42.5053,62.6,clear sky,39,0,0.13,SA
210,Palm Coast,29.585,-81.2078,66.2,clear sky,27,1,11.5,US
211,Loandjili,-4.7561,11.8578,80.6,light rain,89,75,3.44,CG
212,Miraflores,19.2167,-98.8083,71.6,few clouds,30,20,20.71,MX
213,Bathurst,-33.4166,149.5806,57.99,broken clouds,76,51,2.39,AU
214,Maracas,-13.4411,-40.4308,67.53,broken clouds,88,78,5.64,BR
215,Port Keats,-14.25,129.55,77.76,overcast clouds,72,100,7.72,AU
216,Urambo,-5.0667,32.05,63.43,scattered clouds,96,47,4.54,TZ
217,Kungurtug,50.5994,97.5228,7.72,clear sky,93,6,1.92,RU
218,Airai,-8.9266,125.4092,61.48,overcast clouds,95,100,2.8,TL
219,Cap Malheureux,-19.9842,57.6142,75.99,light rain,86,17,1.99,MU
220,Hsinchu,24.8036,120.9686,75.99,clear sky,81,2,3.0,TW
221,Padang,-0.9492,100.3543,73.4,scattered clouds,94,40,3.44,ID
222,Opoczno,51.3757,20.2783,48.0,overcast clouds,10,96,12.15,PL
223,Nanakuli,21.3906,-158.1547,84.2,few clouds,51,20,12.66,US
224,Iskateley,67.6803,53.1512,21.54,overcast clouds,98,99,0.67,RU
225,Ayabaca,-4.6398,-79.7149,52.63,moderate rain,93,80,3.38,PE
226,Kaitangata,-46.2817,169.8464,55.0,overcast clouds,64,88,11.01,NZ
227,Miri,4.4148,114.0089,77.0,scattered clouds,88,40,2.3,MY
228,Dzaoudzi,-12.7887,45.2699,80.6,clear sky,89,0,4.61,YT
229,Isla Vista,34.4133,-119.861,82.4,clear sky,8,1,14.97,US
230,Touros,-5.1989,-35.4608,80.6,scattered clouds,78,40,5.75,BR
231,Arcata,40.8665,-124.0828,66.99,clear sky,54,1,8.05,US
232,Hithadhoo,-0.6,73.0833,83.28,scattered clouds,77,42,17.6,MV
233,Komsomolskiy,40.4272,71.7189,32.0,clear sky,69,1,6.91,UZ
234,Teknaf,20.8624,92.3058,75.87,clear sky,88,9,4.92,BD
235,Yarada,17.65,83.2667,82.4,mist,94,75,6.91,IN
236,Singapore,1.2897,103.8501,80.6,broken clouds,89,75,1.14,SG
237,Yaroslavskiy,44.1683,132.2072,44.33,overcast clouds,54,100,12.21,RU
238,Bandarbeyla,9.4942,50.8122,76.26,scattered clouds,74,32,2.91,SO
239,Plouzane,48.3833,-4.6167,57.2,overcast clouds,82,100,11.5,FR
240,Beringovskiy,63.05,179.3167,24.82,snow,95,100,13.51,RU
241,Giyon,8.5333,37.9833,63.93,broken clouds,24,65,8.41,ET
242,Hamilton,39.1834,-84.5333,36.0,overcast clouds,44,90,10.36,US
243,Naze,28.3667,129.4833,69.8,broken clouds,94,75,18.41,JP
244,Mecca,21.4267,39.8261,73.74,few clouds,42,13,7.27,SA
245,Olafsvik,64.8945,-23.7142,40.24,overcast clouds,80,98,12.26,IS
246,Belyy Yar,53.6039,91.3903,23.0,scattered clouds,80,28,4.47,RU
247,Gat,31.61,34.7642,54.0,clear sky,72,5,7.0,IL
248,Manggar,-2.8833,108.2667,77.5,overcast clouds,86,98,2.51,ID
249,Marrakesh,31.6315,-8.0083,62.6,clear sky,67,0,5.75,MA
250,Itainopolis,-7.4469,-41.4783,74.59,overcast clouds,89,100,4.63,BR
251,Esmeraldas,-19.7625,-44.3139,80.6,clear sky,57,0,4.61,BR
252,Yamada,39.4667,141.95,48.15,scattered clouds,70,38,2.93,JP
253,Aklavik,68.2191,-135.0107,-7.6,broken clouds,59,75,11.5,CA
254,Kavaratti,10.5669,72.642,83.12,overcast clouds,66,96,10.8,IN
255,Harper,4.375,-7.7169,78.78,scattered clouds,89,41,6.64,LR
256,Vardo,70.3705,31.1107,32.14,overcast clouds,83,100,6.93,NO
257,Qaqortoq,60.7167,-46.0333,37.4,broken clouds,81,75,6.91,GL
258,Ancud,-41.8697,-73.8203,57.0,scattered clouds,92,46,1.99,CL
259,Rio Grande,-32.035,-52.0986,67.33,clear sky,71,6,11.39,BR
260,Lakes Entrance,-37.8811,147.981,66.0,broken clouds,74,82,2.91,AU
261,Adre,13.4667,22.2,75.79,broken clouds,14,73,13.82,TD
262,Flin Flon,54.7682,-101.865,48.2,overcast clouds,43,90,5.75,CA
263,Lander,42.833,-108.7307,64.4,clear sky,14,1,4.61,US
264,Yar-Sale,66.8333,70.8333,26.33,overcast clouds,97,100,6.46,RU
265,Fort Nelson,58.8053,-122.7002,39.2,broken clouds,35,75,13.8,CA
266,Comodoro Rivadavia,-45.8667,-67.5,59.0,scattered clouds,94,40,5.75,AR
267,Faanui,-16.4833,-151.75,82.62,broken clouds,69,84,8.72,PF
268,Richards Bay,-28.783,32.0377,73.09,overcast clouds,84,100,3.91,ZA
269,Hofn,64.2539,-15.2082,42.01,clear sky,66,0,5.7,IS
270,Sao Filipe,14.8961,-24.4956,71.56,broken clouds,77,74,9.64,CV
271,Barcelos,41.5388,-8.6151,59.0,scattered clouds,94,40,1.03,PT
272,Kapit,2.0167,112.9333,72.21,overcast clouds,98,99,0.54,MY
273,Ventspils,57.3894,21.5606,35.6,clear sky,100,0,5.75,LV
274,Listvyanka,51.8535,104.8693,17.6,clear sky,93,0,2.24,RU
275,Bandrele,-12.9067,45.1914,80.6,light rain,89,0,4.61,YT
276,Batagay,67.6333,134.6333,2.28,overcast clouds,96,97,3.13,RU
277,Tsabong,-26.0217,22.401,79.48,broken clouds,33,82,5.44,BW
278,Eureka,40.8021,-124.1637,66.99,clear sky,66,1,4.0,US
279,Labuhan,-6.8844,112.2051,77.2,overcast clouds,83,100,4.45,ID
280,Saint Anthony,45.0205,-93.218,45.0,clear sky,24,1,6.91,US
281,Melo,-32.3667,-54.1833,62.22,broken clouds,79,51,9.73,UY
